Clover,Crystal,Segment,X,Y,Z
5,3,2,-110.622,57.2173,-104.803
5,3,3,-103.005,73.1785,-107.608
5,3,4,-146.906,97.7703,-118.825
5,3,5,-155.743,78.1186,-116.243
5,3,6,-139.362,69.6972,-134.637
5,3,7,-131.798,87.9375,-136.919
6,0,0,-134.941,96.1415,-37.4119
6,0,1,-134.745,95.7384,-13.1381
6,0,2,-144.026,74.5494,-13.91
6,0,3,-143.994,73.7745,-37.1095
6,0,4,-173.75,115.87,-40.5599
6,0,5,-173.654,116.1,-15.0203
6,0,6,-183.615,92.0514,-14.7784
6,0,7,-183.523,92.2741,-40.8084
6,1,0,-134.93,96.1679,37.3833
6,1,1,-143.91,73.6134,37.086
6,1,2,-144.044,74.5047,13.9584
6,1,3,-134.865,95.8135,13.2546
6,1,4,-173.826,115.686,40.7584
6,1,5,-183.599,92.0906,41.0078
6,1,6,-183.692,91.8671,14.9779
6,1,7,-173.73,115.916,15.2189
6,2,0,-134.941,96.1415,-37.4119
6,2,1,-134.745,95.7384,-13.1381
6,2,2,-144.026,74.5494,-13.91
6,2,3,-143.994,73.7745,-37.1095
6,2,4,-173.75,115.87,-40.5599
6,2,5,-173.654,116.1,-15.0203
6,2,6,-183.615,92.0514,-14.7784
6,2,7,-183.523,92.2741,-40.8084
6,3,0,-134.93,96.1679,37.3833
6,3,1,-143.91,73.6134,37.086
6,3,2,-144.044,74.5047,13.9584
6,3,3,-134.865,95.8135,13.2546
6,3,4,-173.826,115.686,40.7584
6,3,5,-183.599,92.0906,41.0078
6,3,6,-183.692,91.8671,14.9779
6,3,7,-173.73,115.916,15.2189
7,0,0,-163.4,-27.4357,-37.4119
7,0,1,-162.976,-27.5819,-13.1381
7,0,2,-154.556,-49.1272,-13.91
7,0,3,-153.986,-49.6527,-37.1095
7,0,4,-204.792,-40.9274,-40.5599
7,0,5,-204.887,-40.697,-15.0203
7,0,6,-194.926,-64.7454,-14.7784
7,0,7,-195.018,-64.5228,-40.8084
7,1,0,-163.411,-27.4093,37.3833
7,1,1,-153.812,-49.7069,37.086
7,1,2,-154.538,-49.172,13.9584
7,1,3,-163.114,-27.6137,13.2546
7,1,4,-204.716,-41.1108,40.7584
7,1,5,-194.942,-64.7063,41.0078
7,1,6,-194.849,-64.9298,14.9779
7,1,7,-204.811,-40.8812,15.2189
7,2,0,-163.4,-27.4357,-37.4119
7,2,1,-162.976,-27.5819,-13.1381
7,2,2,-154.556,-49.1272,-13.91
7,2,3,-153.986,-49.6527,-37.1095
7,2,4,-204.792,-40.9274,-40.5599
7,2,5,-204.887,-40.697,-15.0203
7,2,6,-194.926,-64.7454,-14.7784
7,2,7,-195.018,-64.5228,-40.8084
7,3,0,-163.411,-27.4093,37.3833
7,3,1,-153.812,-49.7069,37.086
7,3,2,-154.538,-49.172,13.9584
7,3,3,-163.114,-27.6137,13.2546
7,3,4,-204.716,-41.1108,40.7584
7,3,5,-194.942,-64.7063,41.0078
7,3,6,-194.849,-64.9298,14.9779
7,3,7,-204.811,-40.8812,15.2189
8,0,0,-23.7804,141.63,90.7045
8,0,1,-21.0536,124.402,107.59
8,0,2,-37.7177,118.661,104.84
8,0,3,-43.1627,133.858,88.1645
8,0,4,-34.5606,172.934,118.993
8,0,5,-30.8463,155.294,137.086
8,0,6,-49.076,147.751,134.788
8,0,7,-54.6884,165.294,116.394
8,1,0,-15.0085,89.4793,143.597
8,1,1,-27.0841,83.8084,140.524
8,1,2,-31.7771,99.8691,124.543
8,1,3,-17.9614,106.098,126.353
8,1,4,-23.3953,116.499,176.466
8,1,5,-36.6195,110.324,174.237
8,1,6,-42.564,127.732,155.819
8,1,7,-26.8009,134.27,158.441
8,2,0,-23.7804,141.63,90.7045
8,2,1,-21.0536,124.402,107.59
8,2,2,-37.7177,118.661,104.84
8,2,3,-43.1627,133.858,88.1645
8,2,4,-34.5606,172.934,118.993
8,2,5,-30.8463,155.294,137.086
8,2,6,-49.076,147.751,134.788
8,2,7,-54.6884,165.294,116.394
8,3,0,-15.0085,89.4793,143.597
8,3,1,-27.0841,83.8084,140.524
8,3,2,-31.7771,99.8691,124.543
8,3,3,-17.9614,106.098,126.353
8,3,4,-23.3953,116.499,176.466
8,3,5,-36.6195,110.324,174.237
8,3,6,-42.564,127.732,155.819
8,3,7,-26.8009,134.27,158.441
9,0,0,-141.63,-23.7804,90.7045
9,0,1,-124.402,-21.0536,107.59
9,0,2,-118.661,-37.7177,104.84
9,0,3,-133.858,-43.1627,88.1645
